Date,Close
2022-07-14,114.0
2022-07-15,115.5
2022-07-18,114.2
2022-07-19,114.3
2022-07-20,115.05
2022-07-21,116.35
2022-07-22,116.8
2022-07-25,116.7
2022-07-26,115.65
2022-07-27,116.7
2022-07-28,116.9
2022-07-29,118.0
2022-08-01,117.65
2022-08-02,115.55
2022-08-03,116.25
2022-08-04,116.55
2022-08-05,119.5
2022-08-08,119.25
2022-08-09,119.15
2022-08-10,117.9
2022-08-11,120.05
2022-08-12,120.8
2022-08-15,121.9
2022-08-16,122.1
2022-08-17,122.15
2022-08-18,121.35
2022-08-19,121.55
2022-08-22,119.8
2022-08-23,118.2
2022-08-24,117.9
2022-08-25,119.0
2022-08-26,119.6
2022-08-29,116.55
2022-08-30,116.75
2022-08-31,117.6
2022-09-01,115.15
2022-09-02,113.9
2022-09-05,114.15
2022-09-06,114.9
2022-09-07,112.2
2022-09-08,113.0
2022-09-12,115.4
2022-09-13,116.0
2022-09-14,113.65
2022-09-15,113.85
2022-09-16,112.55
2022-09-19,112.05
2022-09-20,113.05
2022-09-21,112.1
2022-09-22,110.75
2022-09-23,109.7
2022-09-26,107.65
2022-09-27,107.5
2022-09-28,105.25
2022-09-29,104.9
2022-09-30,103.45
2022-10-03,102.2
2022-10-04,104.8
2022-10-05,107.25
2022-10-06,108.0
2022-10-07,106.2
2022-10-11,100.7
2022-10-12,100.2
2022-10-13,99.0
2022-10-14,101.85
2022-10-17,99.95
2022-10-18,101.1
2022-10-19,99.75
2022-10-20,99.2
2022-10-21,98.9
2022-10-24,98.6
2022-10-25,96.7
2022-10-26,97.6
2022-10-27,99.0
2022-10-28,97.75
2022-10-31,99.05
2022-11-01,99.6
2022-11-02,100.0
2022-11-03,98.7
2022-11-04,98.85
2022-11-07,100.55
2022-11-08,101.6
2022-11-09,104.5
2022-11-10,103.5
2022-11-11,109.0
2022-11-14,110.0
2022-11-15,114.7
2022-11-16,114.5
2022-11-17,114.55
2022-11-18,114.25
2022-11-21,113.85
2022-11-22,114.8
2022-11-23,115.6
2022-11-24,116.7
2022-11-25,116.7
2022-11-28,114.35
2022-11-29,115.4
2022-11-30,116.35
2022-12-01,118.35
2022-12-02,117.3
2022-12-05,117.45
2022-12-06,115.3
2022-12-07,114.6
2022-12-08,113.25
2022-12-09,115.0
2022-12-12,113.9
2022-12-13,113.4
2022-12-14,114.8
2022-12-15,114.9
2022-12-16,113.0
2022-12-19,112.35
2022-12-20,110.3
2022-12-21,110.75
2022-12-22,112.6
2022-12-23,110.7
2022-12-26,111.1
2022-12-27,111.6
2022-12-28,110.0
2022-12-29,109.5
2022-12-30,110.2
2023-01-03,110.75
2023-01-04,110.5
2023-01-05,111.3
2023-01-06,111.8
2023-01-09,115.8
2023-01-10,116.25
2023-01-11,116.35
2023-01-12,115.85
2023-01-13,117.2
2023-01-16,118.1
2023-01-17,118.1
2023-01-30,120.7
2023-01-31,118.3
2023-02-01,119.0
